id,title,author,genre,year_published,average_rating
771,Implemented user-facing workforce,Travis Leon,Non-Fiction,1991,2.0
772,Inverse coherent structure,Caleb Hobbs,Fantasy,1968,3.5
773,Enhanced background matrices,Henry Taylor,Non-Fiction,2020,3.4
774,Cross-platform composite synergy,Misty Dorsey,Romance,1910,1.0
775,User-centric directional framework,Emily Grant,Mystery,1965,2.2
776,Public-key next generation website,Robert Velazquez,Non-Fiction,1949,4.5
777,Phased even-keeled core,Troy Jones,Mystery,1986,4.8
778,Monitored encompassing superstructure,Benjamin Hernandez,Science Fiction,2022,1.4
779,Versatile actuating collaboration,Christina Bishop,Romance,1907,4.1
780,Synchronized full-range website,Jennifer Bass,Non-Fiction,1942,1.4
781,Automated grid-enabled pricing structure,Barry Wallace,Non-Fiction,1929,3.6
782,Optimized bottom-line protocol,Robert Shepherd,Science Fiction,1961,3.3
783,Face-to-face exuding benchmark,Jeremy Ball,Non-Fiction,1926,3.0
784,Triple-buffered uniform migration,Amy Allen,Romance,1971,1.5
785,Multi-tiered object-oriented moratorium,Jessica Lynch,Mystery,1971,1.9
786,Secured disintermediate knowledge user,Natasha Reed,Mystery,1920,1.0
787,Distributed responsive open system,Jonathan Hartman,Romance,1956,2.7
788,Decentralized system-worthy emulation,Christine Williams,Science Fiction,2005,2.6
789,Operative responsive definition,Robert Kramer,Mystery,1939,4.4
790,Realigned radical pricing structure,Kenneth Turner Jr.,Mystery,1991,1.6
791,Reactive client-server conglomeration,Lisa Boyd,Romance,2015,1.9
792,Distributed foreground complexity,Oscar Gross,Romance,2001,3.8
793,Reduced empowering protocol,Erica Ward DDS,Mystery,1912,3.8
794,Profit-focused system-worthy hub,Nancy Harris,Mystery,1968,3.3
795,Business-focused impactful attitude,Tina Turner,Fantasy,1981,4.7
796,Reactive explicit hub,Elizabeth Lee,Romance,1996,4.8
797,Devolved global product,Rebecca Randolph,Mystery,1954,2.3
798,Grass-roots optimal help-desk,Nancy Keith,Science Fiction,1907,2.2
799,Proactive intangible complexity,Mary Hayes,Romance,1914,1.2
800,Business-focused radical service-desk,Karen Crane,Fantasy,1988,4.6
801,Object-based needs-based product,Erika Kramer,Mystery,1953,1.7
802,Integrated intangible matrix,Catherine Lee,Fantasy,2001,2.8
803,Multi-tiered asymmetric success,Sarah Ashley,Mystery,2006,3.5
804,Balanced 4thgeneration migration,Wanda Daniels,Mystery,1936,2.1
805,Progressive fresh-thinking policy,Victoria Robinson,Non-Fiction,2004,1.9
806,Focused intangible Graphical User Interface,Amanda Howell,Mystery,1970,1.2
807,Networked 4thgeneration focus group,Eddie Miller,Romance,1972,3.0
808,Focused neutral Local Area Network,Cathy Black,Fantasy,1902,4.4
809,Open-architected 24/7 challenge,Michael Bowen,Fantasy,1972,4.8
810,Upgradable next generation middleware,Bridget Bowen,Fantasy,1917,1.1
811,Optimized user-facing superstructure,Mrs. Joanna French,Romance,1963,4.4
812,Pre-emptive encompassing approach,Ryan Gibson,Mystery,1979,3.9
813,Up-sized hybrid policy,Alexander Garcia,Science Fiction,1982,4.3
814,Persevering zero-defect emulation,Gary Pugh,Fantasy,1922,4.4
815,Future-proofed next generation hub,Chase Mills,Fantasy,1983,3.4
816,Expanded zero-defect capability,Pamela Johnson,Fantasy,1994,4.0
817,Intuitive incremental leverage,Paul Herrera,Mystery,2014,2.1
818,Visionary homogeneous frame,William Jenkins,Mystery,1946,2.6
819,Digitized leadingedge emulation,Cassandra Roberts,Mystery,1926,2.6
820,Innovative 5thgeneration project,Sierra Edwards,Non-Fiction,1932,3.7
821,Synchronized user-facing orchestration,Marcus Rosario Jr.,Romance,1958,1.6
822,Mandatory contextually-based flexibility,Allen Martin,Science Fiction,1981,4.6
823,Open-source content-based time-frame,Lee Reid,Romance,1922,2.8
824,Streamlined global architecture,Donna Lawson,Fantasy,2003,1.6
825,Persistent contextually-based pricing structure,Donald Lynch,Science Fiction,1915,1.2
826,Cross-group contextually-based parallelism,Tyler Berg,Mystery,1990,2.6
827,Switchable dynamic Internet solution,Kevin Jarvis,Mystery,1911,4.4
828,Optional radical ability,Nicholas Hopkins,Non-Fiction,1926,1.3
829,Upgradable dynamic support,Cassidy Huynh,Fantasy,1942,4.9
830,Extended grid-enabled contingency,Jennifer Mitchell,Romance,1996,3.2
831,Quality-focused radical moratorium,Jason Lawrence,Romance,1900,3.2
832,Decentralized zero tolerance support,Richard Hendricks,Non-Fiction,1946,1.7
833,Enterprise-wide system-worthy model,Dawn Bond,Non-Fiction,1937,4.8
834,Down-sized radical focus group,Albert Powers,Non-Fiction,2016,3.0
835,Networked maximized firmware,Brittany Greene,Mystery,1995,1.4
836,Front-line encompassing system engine,Jeffery Morris,Non-Fiction,1938,2.0
837,Integrated regional encryption,Summer Williams,Science Fiction,2022,4.7
838,Object-based asymmetric orchestration,Luis Hernandez,Science Fiction,1941,3.0
839,Customizable uniform portal,Susan White,Science Fiction,1954,4.1
840,Monitored maximized hub,Katherine Stanley,Mystery,1907,1.1
841,Innovative executive matrix,Jacob Crane,Mystery,2001,3.3
842,Devolved bifurcated adapter,Kathryn Benjamin,Fantasy,1924,1.6
843,Cloned static matrix,James Sims,Mystery,1921,3.8
844,Optional impactful knowledgebase,Sharon Carroll,Science Fiction,1974,4.2
845,Intuitive cohesive task-force,Teresa Coffey,Mystery,2000,1.9
846,Switchable well-modulated time-frame,Erica Griffin,Non-Fiction,1961,1.7
847,Ameliorated bi-directional collaboration,Jonathan Nelson,Science Fiction,1977,3.4
848,Enhanced homogeneous workforce,Jonathan Martin,Mystery,1931,3.7
849,Adaptive attitude-oriented knowledge user,Jeremy Stewart,Romance,1904,3.6
850,Synchronized clear-thinking secured line,Daniel Kaufman,Mystery,1968,3.2
851,Distributed leadingedge Graphic Interface,Misty Mosley,Romance,1976,3.7
852,Triple-buffered systemic solution,Jeffery Gallagher,Romance,1995,1.8
853,Digitized optimal hub,Michele Bradley,Mystery,2003,3.3
854,Synchronized bandwidth-monitored protocol,Lori Thompson,Non-Fiction,1919,2.4
855,De-engineered 6thgeneration archive,Kenneth Lam,Non-Fiction,1902,1.6
856,Cloned dynamic strategy,Nancy Graham,Fantasy,1936,1.6
857,Sharable empowering website,Amanda Powers,Non-Fiction,2014,3.7
858,Profit-focused dynamic standardization,Andrew Gonzalez,Science Fiction,1911,1.4
859,Intuitive impactful task-force,Christopher Richardson,Romance,1913,4.2
860,Virtual foreground implementation,Connie Jackson,Fantasy,1990,3.3
861,De-engineered responsive task-force,Dale Gates,Non-Fiction,1912,4.7
862,Multi-channeled bandwidth-monitored flexibility,Robin Johnson,Non-Fiction,1902,4.0
863,Pre-emptive zero tolerance time-frame,Andrea Rogers,Non-Fiction,1997,1.3
864,De-engineered multimedia pricing structure,Amanda Smith,Mystery,1926,1.6
865,De-engineered homogeneous definition,Christine Andrews,Non-Fiction,2004,4.5
866,Stand-alone radical circuit,Jill Brown,Science Fiction,2008,2.4
867,Stand-alone regional circuit,Kyle Freeman,Fantasy,1916,2.0
868,User-friendly coherent concept,Melissa Moore,Science Fiction,1978,4.3
869,Business-focused heuristic customer loyalty,Amy Graham,Romance,1941,1.5
870,Right-sized radical hardware,Nathan Glenn,Non-Fiction,1976,1.2
871,Up-sized bottom-line parallelism,Roger Carter,Science Fiction,2006,4.9
872,Operative user-facing paradigm,Jennifer Sosa,Mystery,1981,4.4
873,Cross-group encompassing conglomeration,Robin Sanders,Romance,1980,5.0
874,Integrated reciprocal capability,Vanessa Diaz,Non-Fiction,1948,1.7
875,Enhanced high-level ability,Christopher Graham,Mystery,1948,4.3
876,Public-key bottom-line secured line,Eric Smith,Science Fiction,2014,2.0
877,Seamless zero tolerance solution,Brett Walton,Romance,1986,3.4
878,Enterprise-wide disintermediate secured line,Todd Guerrero,Fantasy,1989,2.4
879,Focused multimedia standardization,Jessica Thornton,Science Fiction,2013,4.7
880,Diverse impactful synergy,Mark Calhoun,Fantasy,1991,4.3
881,Assimilated 24/7 extranet,Martin Gross,Mystery,2014,1.4
882,Open-source zero tolerance Graphical User Interface,Kristy Lin,Fantasy,1927,1.2
883,Mandatory contextually-based artificial intelligence,Laura Kennedy,Science Fiction,1985,2.9
884,Team-oriented well-modulated infrastructure,Katie Jenkins,Science Fiction,1945,3.6
885,Devolved empowering collaboration,Beth Butler,Non-Fiction,2002,4.2
886,Function-based well-modulated definition,Laura Jackson,Science Fiction,2014,2.8
887,Sharable intangible customer loyalty,Keith Lewis,Science Fiction,1961,2.1
888,Networked client-server algorithm,Amanda Wilson,Romance,1906,4.3
889,Extended neutral functionalities,Stephen Brooks,Mystery,1960,4.1
890,Grass-roots mission-critical policy,Antonio Hodge,Non-Fiction,1994,2.5
891,Profit-focused systemic strategy,Anthony Thompson,Science Fiction,1973,2.5
892,Multi-channeled incremental superstructure,Scott Richardson,Mystery,1937,4.7
893,Diverse bifurcated migration,Gina Walker,Romance,1955,1.4
894,Cloned foreground Local Area Network,Jennifer Walker,Science Fiction,1968,3.7
895,Streamlined 5thgeneration support,Jacob Schultz,Non-Fiction,2013,4.5
896,Re-contextualized motivating capability,Rebecca Harper,Mystery,1962,2.9
897,Pre-emptive user-facing service-desk,Laura Osborne,Fantasy,2001,3.0
898,Multi-layered didactic contingency,Philip Gould,Romance,1971,2.0
899,Robust demand-driven projection,Michael Adams DVM,Fantasy,1959,1.0
900,Visionary even-keeled complexity,Virginia Saunders,Romance,1943,3.0
901,Front-line bandwidth-monitored service-desk,Patricia Fitzpatrick,Fantasy,1996,1.7
902,Automated coherent knowledgebase,Sherry Byrd,Romance,2020,2.9
903,De-engineered 3rdgeneration focus group,Joseph Davis,Non-Fiction,1957,1.1
904,Function-based 5thgeneration model,Jason Potter,Romance,1922,1.3
905,Self-enabling neutral Graphic Interface,Anthony Jackson Jr.,Non-Fiction,1935,2.9
906,Down-sized value-added structure,Angela Cruz,Science Fiction,1951,2.7
907,Cross-platform responsive utilization,Craig Schneider,Fantasy,2008,3.0
908,Intuitive user-facing complexity,Matthew Dominguez,Science Fiction,1986,1.5
909,Distributed demand-driven workforce,Julie Horton,Fantasy,2015,2.4
910,Polarized bandwidth-monitored matrix,Stephanie Mcdonald,Non-Fiction,2000,2.1
911,Stand-alone tertiary matrices,Eric Davis,Romance,2010,2.4
912,Programmable homogeneous monitoring,Brandon Ramirez,Mystery,1918,1.6
913,Exclusive background installation,Rebecca Farmer,Science Fiction,2015,1.2
914,Innovative discrete budgetary management,Richard Gonzalez,Fantasy,1992,3.5
915,Configurable full-range leverage,Casey Morris,Science Fiction,1940,3.3
916,Multi-lateral grid-enabled forecast,James Sharp,Non-Fiction,1950,3.2
917,Optimized regional task-force,Steven Thompson,Non-Fiction,1955,3.8
918,Proactive cohesive strategy,Angela White,Romance,1902,2.4
919,Fully-configurable actuating success,Jack Harvey,Science Fiction,1963,2.6
920,Horizontal didactic neural-net,Howard Heath,Science Fiction,2008,2.2
921,Progressive multi-state secured line,Benjamin Frost,Non-Fiction,1997,2.6
922,Optional 6thgeneration help-desk,Erin Crawford,Non-Fiction,1907,4.6
923,Multi-tiered stable process improvement,Sarah Armstrong,Fantasy,1926,3.5
924,Switchable user-facing secured line,Nicholas Curtis,Non-Fiction,1976,3.4
925,Adaptive bi-directional access,Daisy Osborn,Fantasy,1950,2.4
926,Adaptive dedicated analyzer,Lindsay King,Mystery,1951,2.6
927,Horizontal 5thgeneration matrices,Christina Le,Fantasy,1947,1.8
928,Horizontal incremental task-force,Regina Anderson,Non-Fiction,1981,2.4
929,Multi-lateral 6thgeneration help-desk,Alice Rosales,Mystery,1934,2.3
930,Operative national contingency,James Compton,Non-Fiction,1938,1.0
931,Implemented 5thgeneration parallelism,Zachary Ferrell,Science Fiction,2020,5.0
932,Customer-focused stable Graphical User Interface,Kristy Gutierrez,Romance,1931,1.7
933,Assimilated local productivity,Holly Thomas,Mystery,1916,4.2
934,Versatile logistical moratorium,Joel Gutierrez,Mystery,1927,3.4
935,Fully-configurable user-facing alliance,Brian Ramirez,Fantasy,1950,1.0
936,Stand-alone dynamic groupware,Juan Larsen,Mystery,2004,4.3
937,Focused actuating moratorium,George Gross,Non-Fiction,1996,4.5
938,Integrated system-worthy frame,Sheri Bryan,Romance,2014,2.9
939,Cross-group heuristic methodology,David Thompson,Fantasy,1968,1.1
940,Inverse web-enabled support,Eric Hartman,Romance,1925,1.8
941,Implemented full-range knowledgebase,Donald Whitehead,Mystery,1918,2.9
942,Synergized heuristic protocol,Brian Nichols,Science Fiction,1918,4.3
943,Proactive 24/7 open architecture,Matthew Brooks,Science Fiction,1903,1.7
944,Multi-tiered human-resource complexity,Wanda Jones,Fantasy,1942,4.9
945,Profit-focused client-driven infrastructure,Julie Gilbert,Fantasy,1999,3.7
946,Versatile reciprocal hub,Aaron Taylor,Non-Fiction,1960,2.6
947,Ameliorated foreground function,Alexis Black MD,Romance,1903,4.0
948,Switchable fault-tolerant model,Mark Anderson,Science Fiction,1996,2.3
949,Robust dedicated groupware,Patrick Guerrero,Science Fiction,1984,4.8
950,Open-source fault-tolerant encoding,Sylvia Smith,Romance,1995,5.0
951,Monitored multi-tasking throughput,Angela Washington,Fantasy,1934,1.5
952,Implemented intangible service-desk,Melissa Smith,Fantasy,1949,3.9
953,Down-sized real-time collaboration,Edward Hernandez,Romance,1989,3.7
954,Robust cohesive emulation,Amy Patel,Non-Fiction,1997,3.6
955,Total foreground core,Vincent Robinson,Fantasy,1970,1.8
956,Self-enabling heuristic strategy,Caitlin Solomon,Mystery,1933,2.3
957,Horizontal well-modulated moratorium,Brett Wu,Science Fiction,1972,4.6
958,Sharable 24/7 frame,Nancy Jenkins,Fantasy,1906,2.8
959,Balanced encompassing circuit,Michael Green,Fantasy,1997,4.0
960,Phased directional budgetary management,Thomas Johnson,Science Fiction,1966,4.3
961,Customer-focused even-keeled Graphical User Interface,Scott Barnes,Romance,1928,2.4
962,Vision-oriented 6thgeneration secured line,Lisa Smith,Non-Fiction,1980,2.7
963,Assimilated clear-thinking leverage,Michelle Henderson,Science Fiction,1950,1.2
964,Triple-buffered static neural-net,Cesar Hernandez,Science Fiction,1973,3.5
965,Object-based foreground definition,Matthew Blackwell,Romance,1991,3.5
966,Decentralized real-time groupware,Leslie Young,Fantasy,1965,2.5
967,Fundamental non-volatile collaboration,Gregory Smith,Mystery,1988,3.7
968,Streamlined next generation application,David Pierce,Science Fiction,1923,2.4
969,Function-based eco-centric attitude,Debra Strickland,Non-Fiction,1959,3.5
970,Universal 4thgeneration intranet,Nancy White,Mystery,1908,4.4
971,Optional encompassing functionalities,Nichole Brown,Science Fiction,2012,1.1
972,Robust zero tolerance array,Richard Alvarado,Mystery,2012,4.5
973,Synergistic web-enabled system engine,Jason Robinson,Fantasy,2013,3.6
974,Visionary global approach,Sandra Sharp,Romance,1948,4.8
975,Extended contextually-based conglomeration,Cassandra Sanchez,Science Fiction,1962,4.8
976,Persevering maximized algorithm,Brandi Norman,Mystery,2007,1.2
977,Integrated user-facing structure,Ms. Sherri Davidson,Fantasy,1906,1.9
978,Advanced encompassing policy,Hunter Cole,Romance,2003,1.2
979,Visionary global superstructure,Eric Garcia,Romance,2004,1.5
980,Quality-focused cohesive encryption,Sandra Clayton,Romance,1991,4.7
981,Reverse-engineered leadingedge website,Sylvia Carson,Romance,2013,3.7
982,Networked value-added knowledgebase,Shelly Thomas,Fantasy,1923,2.3
983,Face-to-face dynamic structure,Sean Rowe,Science Fiction,2020,3.9
984,Pre-emptive interactive projection,Samuel Wong,Fantasy,1944,2.2
985,Virtual empowering implementation,Austin Rodriguez,Science Fiction,1953,4.8
986,Monitored cohesive conglomeration,Bryan Hall,Mystery,1933,3.3
987,Mandatory static implementation,Robert Bridges,Mystery,1914,4.7
988,Extended scalable complexity,Melissa Johnson,Science Fiction,1934,1.8
989,Managed foreground encryption,Alejandra Higgins,Romance,2011,2.3
990,Compatible bi-directional budgetary management,Amber Adams,Fantasy,1905,2.0
991,Programmable attitude-oriented structure,Mark Martinez,Romance,1941,1.3
992,Triple-buffered uniform standardization,Mary Cohen,Non-Fiction,1938,4.9
993,Profound neutral extranet,Jane Morris,Romance,2021,4.1
994,Public-key contextually-based extranet,Levi Smith,Non-Fiction,1996,3.0
995,Innovative attitude-oriented toolset,James Marquez,Mystery,1916,2.0
996,Pre-emptive disintermediate budgetary management,David Martinez,Mystery,2014,2.3
997,Open-architected dedicated synergy,Rachel Ramirez,Fantasy,2011,4.9
998,Customer-focused optimal frame,Jessica Golden,Fantasy,1927,4.7
999,Ameliorated context-sensitive middleware,Gina Steele,Fantasy,1969,2.9
1000,Distributed empowering Graphical User Interface,Laura Lane,Mystery,1909,1.8
